Blog	times	together	better	photos	word	add	house	point	came	using	business	either	done	else	over	site	help	page	needs	their	story	personal	again	report	getting	happy	u	take	will	minutes	recently	watch	three	service	give	build	call	big	hope	app	into	how	read	way	man	worked	around	group	million	second	won	kind	pretty	ways	president	future	still	play	itself	both	live	does	user	example	got	post	everyone	ago	same	home	amp	show	change	others	make	go	only	has	companies	android	also	write	say	start	love	mean	people	based	he	words	fast	system	taking	though	case	all	works	questions	created	ask	comes	day	youtube	any	american	looking	found	never	really	made	across	z	email	learn	few	talk	control	next	me	see	security	lot	right	interesting	money	did	series	months	left	york	likely	social	tips	book	twitter	four	via	wants	available	don	tool	myself	off	once	need	website	public	writing	photo	always	place	car	hand	been	human	less	posted	shot	during	blog	having	said	hard	head	reason	days	ve	called	small	back	tell	rather	very	told	try	gets	problem	dead	someone	find	data	up	each	outside	features	check	now	technology	idea	means	five	run	every	open	your	product	special	such	own	network	review	year	do	years	high	away	possible	face	while	share	line	thought	morning	bad	several	part	popular	facebook	little	company	why	original	state	after	tv	happens	easy	doing	ever	remember	information	view	value	video	they	reading	takes	until	since	known	recent	had	friday	working	apple	yes	nbsp	want	lead	google	free	making	set	far	x	continue	content	short	yet	support	keep	weekend	instead	com	team	close	most	took	look	within	building	didn	its	readers	enough	smart	already	amazon	latest	who	thing	full	links	night	design	going	think	co	week	later	am	interview	david	when	great	stop	use	says	yesterday	which	move	number	work	level	d	then	things	ll	down	wrong	two	health	update	or	please	art	month	tech	might	water	top	self	stuff	first	order	web	internet	fact	know	april	our	users	another	spend	long	asked	here	today	question	nothing	music	create	so	friends	too	these	let	posts	name	started	yourself	apps	phone	past	would	stories	visit	everything	should	seen	whole	there	old	through	probably	come	good	turn	often	where	anything	important	course	us	news	link	white	him	deal	if	his	center	because	even	were	above	without	sure	major	get	click	project	bit	actually	digital	used	other	anyone	tools	anti	something	become	may	than	least	time	almost	research	being	key	list	doesn	sometimes	version	she	out	no	program	m	favorite	feel	before	person	obama	success	issue	family	send	wrote	end	note	re	maybe	aren	following	media	trying	world	some	single	under	her	well	them	isn	community	different	city	text	put	mark	store	online	real	images	k	makes	against	best	last	seems	between	whether	much	wasn	could	went	game	search	those	th	black	life	many
The Dish	1	0	2	1	1	0	2	0	0	0	0	1	0	1	3	2	0	0	0	7	3	1	0	0	0	0	3	1	5	0	4	0	1	0	0	0	0	2	4	0	1	6	9	0	1	0	4	0	1	0	1	0	0	0	1	0	2	0	1	0	1	0	0	4	0	4	0	2	2	1	0	0	0	1	2	3	3	8	0	0	0	0	1	0	7	0	5	0	3	4	0	1	1	1	1	6	0	1	2	0	0	9	0	1	0	2	1	1	0	2	0	0	3	0	0	2	0	1	11	0	0	0	0	0	1	2	0	0	0	0	2	0	0	3	0	0	0	0	0	4	0	1	0	0	0	0	1	2	2	1	1	0	0	6	0	1	0	0	2	6	0	3	1	1	0	0	3	0	0	3	0	0	1	1	0	0	1	0	0	2	0	7	0	0	0	0	2	0	3	0	1	0	1	2	13	0	0	0	1	0	0	3	3	11	1	0	1	3	0	0	0	2	2	1	0	3	0	0	2	0	3	1	0	2	0	0	0	1	0	0	0	2	0	0	5	3	1	0	2	1	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	3	1	2	1	1	0	1	0	1	5	1	3	0	0	3	0	7	1	0	0	0	2	5	1	0	1	0	0	2	1	0	1	0	2	0	0	5	0	0	1	0	3	2	0	1	3	0	1	3	3	3	1	0	1	2	1	3	3	1	0	0	1	0	0	0	0	2	0	0	2	1	6	0	4	0	2	0	6	0	2	1	1	2	0	0	6	1	1	5	0	4	0	1	0	0	0	3	1	0	0	0	3	0	0	3	3	4	2	0	0	0	2	0	0	0	0	3	2	0	0	0	0	2	11	1	1	4	1	0	2	0	0	2	0	0	0	0	1	0	2	2	0	0	0	1	1	4	2	6	1	2	0	1	0	1	0	0	1	3	6	0	1	2	0	1	1	3	0	1	0	1	1	3	3	2	1	0	2	0	0	7	1	1	2	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	3	0	1	0	2	0	1	1	1	0	2	0	0	1	3
O'Reilly Radar	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	4	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Slashdot	6	2	0	0	1	0	3	1	0	1	1	0	0	0	4	0	4	0	1	6	15	0	1	5	0	0	0	1	8	0	1	1	0	0	1	0	0	0	0	0	3	4	16	1	0	2	1	0	1	1	0	0	0	1	3	0	1	3	1	0	1	2	0	0	1	0	0	0	0	2	0	1	2	1	1	0	2	5	0	0	4	0	2	0	0	1	1	2	3	0	1	6	1	0	0	1	2	1	3	1	0	2	0	0	1	0	2	0	2	1	0	0	2	0	1	0	1	5	0	3	1	0	0	0	0	0	0	1	0	2	0	3	0	0	0	2	1	0	4	0	0	0	1	2	0	3	0	0	0	0	0	2	2	4	8	6	0	4	2	0	0	3	0	0	0	3	0	2	1	2	0	0	1	2	0	0	1	3	0	1	1	7	2	1	3	0	2	3	0	0	1	0	1	1	2	1	0	3	0	0	0	4	1	2	0	0	0	1	2	0	0	0	0	0	1	2	0	3	3	7	0	0	3	3	2	0	0	0	2	0	3	1	0	6	4	1	1	1	1	1	0	4	1	1	5	1	0	0	0	7	1	2	0	1	1	0	0	1	0	1	0	1	1	1	6	0	3	0	0	1	5	1	4	0	0	1	0	0	1	4	0	3	0	0	2	1	7	1	1	0	0	0	0	5	0	0	3	5	0	6	1	2	2	2	4	0	3	0	0	0	3	2	0	2	0	0	3	3	0	0	2	1	0	3	0	0	2	0	0	0	2	0	3	0	1	1	0	0	0	0	0	1	6	1	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	2	1	1	2	1	0	3	1	0	0	0	1	1	0	3	0	0	1	2	3	2	0	6	0	0	0	0	1	1	2	0	0	1	3	3	0	1	0	0	0	2	5	0	4	1	2	2	0	0	3	0	2	3	7	2	6	1	0	0	0	1	6	0	0	1	0	0	0	0	1	0	0	0	1	1	2	5	0	0	3	0	1	0	0	1	1	0	1	0	0	0	3	0	2	0	4	1	4	1	0	0	3	0	5	0	4	1	2	0	0	1	4
Latest from Crooks and Liars	2	0	0	0	0	0	7	0	0	0	0	0	1	1	6	0	0	0	1	2	0	0	1	0	1	1	2	3	0	0	0	0	1	1	0	0	0	0	0	0	1	2	10	4	1	0	1	3	0	1	0	4	3	0	8	0	1	1	1	2	0	1	0	0	2	1	1	0	2	0	0	0	0	0	2	3	0	3	0	0	1	0	4	2	0	1	5	0	9	0	0	1	0	0	0	5	0	0	0	0	0	2	0	6	0	0	0	0	2	1	0	0	0	0	1	0	2	0	2	2	2	1	4	0	5	0	1	1	1	3	0	0	0	3	0	0	0	0	0	6	0	0	5	2	2	0	3	0	0	0	1	0	2	7	0	0	0	0	3	0	1	4	1	0	1	0	3	0	0	3	0	0	0	1	0	1	3	0	1	0	0	2	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	7	1	0	2	0	1	3	0	1	2	1	0	1	2	0	0	3	1	1	0	12	2	0	0	0	2	0	1	0	1	0	0	11	0	0	0	0	1	2	9	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	2	3	0	0	0	1	0	2	2	2	0	0	0	0	0	0	1	0	1	8	2	0	0	1	0	1	4	0	1	0	0	1	0	8	0	0	0	1	0	4	0	1	1	0	1	2	2	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	3	2	1	3	0	0	1	0	2	2	0	1	1	0	2	4	0	3	5	2	0	0	1	0	0	0	2	2	0	0	0	3	1	1	11	1	0	0	1	4	0	0	2	1	0	1	0	3	0	5	1	8	5	9	2	8	4	6	0	2	0	0	3	0	0	2	1	0	0	4	2	0	2	0	3	1	1	1	1	0	2	1	0	0	1	0	0	5	3	6	0	4	0	0	0	2	3	0	0	2	0	3	0	0	3	2	0	1	1	2	1	8	2	3	5	3	4	1	0	3	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	2	3	2	4	0	0	0	4	1	1	0	0
Boing Boing	0	0	2	0	0	0	3	0	0	2	1	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	1	1	0	0	0	5	0	2	2	0	0	1	0	0	3	0	22	1	2	0	0	0	2	1	1	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	1	1	1	0	1	0	2	0	0	1	0	0	1	2	0	0	2	0	0	1	0	1	2	0	0	1	3	4	0	0	0	0	1	0	0	0	2	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0	1	0	0	1	4	3	0	0	4	0	0	0	0	1	0	0	0	1	1	0	1	1	0	2	1	1	0	2	3	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	3	1	1	1	2	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	4	3	1	0	0	2	1	0	7	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	2	5	0	1	0	2	0	0	1	0	2	0	1	0	1	3	0	0	0	0	0	1	0	2	0	0	2	2	1	0	2	0	0	0	0	2	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	2	1	2	2	0	0	2	1	0	0	0	1	1	0	0	0	0	0	2	0	3	2	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	5	12	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	3	1	0	2	0	0	1	2	0	2	1	0	0	0	0	1	0	1	2	4	2	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	3	2	2	5	0	1	0	0	1	0
Joel on Software	1	3	12	0	2	7	0	7	2	15	8	4	6	4	8	6	9	2	3	23	2	1	0	1	9	3	0	7	19	4	1	1	9	0	2	8	4	14	1	3	17	17	5	15	0	3	11	1	6	1	1	10	4	2	0	3	8	1	3	10	1	2	5	4	10	4	5	0	4	1	6	1	2	2	21	13	7	25	12	2	4	2	3	8	4	2	45	2	1	4	3	15	1	6	3	36	5	6	0	18	1	10	0	19	0	0	6	10	15	4	0	0	2	2	9	1	9	6	12	8	2	16	6	2	21	5	1	9	1	1	3	2	0	0	2	4	0	2	4	22	1	1	6	2	15	0	4	6	0	4	4	3	0	10	2	2	2	1	1	5	1	3	5	0	1	6	7	8	4	5	3	1	9	1	3	1	2	0	1	11	0	45	5	3	16	2	12	1	8	2	3	1	24	10	20	14	0	2	8	4	1	7	25	7	1	1	3	1	9	1	4	7	0	5	2	2	2	0	10	10	9	2	0	5	0	1	4	4	2	1	0	3	6	0	75	2	0	3	8	2	0	12	0	5	1	2	22	25	2	3	11	6	4	0	1	4	1	3	2	1	7	0	0	0	11	2	13	2	7	1	3	9	2	1	3	3	9	1	0	19	8	4	0	0	2	11	11	2	1	1	2	0	0	22	26	4	11	1	0	32	4	7	22	1	3	9	22	10	8	0	12	1	1	41	2	16	3	0	17	2	2	0	5	19	1	4	5	5	12	1	32	13	0	2	6	2	7	9	2	0	1	2	59	0	9	10	11	1	0	4	2	0	1	0	12	0	7	12	8	2	3	23	4	3	2	5	6	1	5	11	2	1	2	15	3	0	0	1	0	33	0	0	19	21	13	0	5	7	3	32	2	6	8	12	0	6	15	3	6	0	9	0	7	18	1	20	3	0	6	0	6	9	6	10	0	28	6	2	7	0	4	5	1	0	0	0	2	0	1	2	0	36	3	2	0	0	8	10	23	5	1	0	6	30	1	2	9	6	0	2	0	1	3	2	0	0	10	0	5	2	2	4	1	8	1	16	2	1	6	14	2	0	1	7
Google Blogoscoped	1	1	0	0	0	3	0	0	0	4	0	0	0	2	1	4	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	0	0	0	0	4	3	5	2	1	0	0	2	7	0	1	0	0	0	0	0	1	0	0	0	2	1	0	2	0	0	2	0	1	1	1	0	1	1	1	3	1	2	1	0	1	2	0	0	1	2	0	3	1	2	0	1	0	0	3	1	5	0	2	0	0	1	3	0	3	0	0	0	1	0	2	2	0	0	0	1	0	0	1	4	4	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	4	0	0	0	1	2	1	0	0	1	2	2	1	1	4	0	1	0	0	0	1	0	2	0	0	0	0	4	1	1	3	0	0	1	0	0	0	0	0	1	3	0	3	3	0	0	0	4	1	3	0	3	1	1	2	8	0	0	0	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	2	0	0	7	1	0	0	0	0	0	3	0	2	0	0	0	2	0	28	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	1	1	0	0	5	1	2	2	0	1	2	0	0	0	2	1	0	0	4	0	0	3	1	1	5	0	5	1	0	2	3	1	6	1	1	3	0	0	7	0	0	0	1	0	0	1	0	1	2	0	4	0	0	2	0	3	0	2	0	1	1	2	1	4	0	0	1	7	1	2	1	2	1	2	0	1	6	4	2	11	0	0	0	0	0	0	5	0	1	2	1	0	0	1	1	0	0	0	1	1	1	0	0	0	8	1	0	5	4	1	0	0	0	0	5	2	0	0	2	0	2	4	1	0	0	2	0	1	1	0	4	0	0	0	0	1	0	0	0	0	2	6	0	2	0	1	0	0	0	0	0	0	0	0	0	1	5	1	1	0	0	0	1	3	1	0	0	2	4	1	0	2	0	1	1	0	2	1	0	1	0	1	0	4	0	0	0	1	4	0	1	1	2	1	3	0	0	0	0
The Viral Garden	1	4	10	0	1	10	0	6	1	31	13	2	3	8	14	11	11	8	6	72	2	6	3	0	7	1	0	7	50	1	6	0	3	5	10	6	1	13	2	0	10	59	9	28	1	5	7	5	0	3	11	0	3	6	0	1	14	2	7	6	3	5	4	4	9	41	9	5	16	1	3	5	3	11	20	15	16	14	29	0	10	9	7	7	4	8	73	0	17	1	0	0	4	5	8	34	1	6	7	3	2	21	0	8	0	10	12	10	9	7	0	4	3	8	22	2	0	10	56	24	0	14	7	4	3	11	9	5	9	2	7	134	2	0	71	5	9	3	0	14	6	3	6	3	8	3	0	5	0	6	3	0	1	10	1	5	0	0	8	46	3	13	1	1	10	8	20	4	5	19	11	1	25	3	4	1	5	1	14	9	0	24	3	1	0	7	22	0	15	7	0	0	13	2	79	2	1	8	25	6	0	18	39	6	1	3	1	0	8	8	2	11	0	3	10	7	7	10	3	13	24	1	1	8	1	2	2	14	3	3	6	5	11	0	90	8	1	0	3	1	5	36	0	1	1	1	0	34	2	0	6	4	0	1	0	1	15	1	1	2	3	2	5	22	5	5	24	8	1	2	4	14	12	8	5	5	2	0	1	15	13	3	8	3	0	11	30	2	7	4	26	0	0	40	13	2	20	0	0	21	2	5	17	5	6	22	6	17	2	4	8	0	2	42	3	0	1	0	7	0	4	4	3	26	1	1	0	3	18	12	6	10	8	2	8	1	26	4	0	2	6	11	70	11	6	26	10	7	10	14	4	0	0	1	30	3	0	0	17	4	1	41	1	4	11	7	16	2	9	15	1	5	3	16	1	20	0	3	1	69	8	3	40	18	33	1	2	11	0	24	3	4	8	10	0	1	17	0	7	0	10	11	12	9	6	25	3	1	18	5	12	3	8	0	1	32	19	0	16	2	2	9	5	0	4	1	0	1	6	5	0	4	4	11	23	122	7	4	20	3	1	5	14	50	7	10	4	0	0	4	2	1	8	2	0	1	3	0	8	14	3	2	1	8	8	8	7	1	3	10	9	1	2	23
ShoeMoney	2	0	1	0	0	1	0	0	1	1	1	0	1	0	6	1	0	1	0	3	2	0	1	1	1	1	0	0	7	1	1	0	0	0	4	0	1	1	0	0	1	10	25	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	2	1	0	0	4	1	0	1	0	1	0	4	1	1	3	0	2	7	2	0	4	2	1	0	1	1	2	1	7	1	0	0	0	0	0	4	0	2	0	0	1	5	0	2	1	1	0	1	4	3	0	0	11	2	1	0	0	1	5	2	0	2	0	0	3	3	0	0	0	0	0	3	0	2	0	0	1	0	1	2	0	2	2	1	2	1	0	1	0	3	0	0	0	7	0	0	1	0	2	1	0	0	1	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	4	1	0	2	3	2	0	0	0	0	0	0	1	9	4	1	0	1	1	2	6	4	7	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	4	2	0	0	0	0	0	1	1	1	0	1	0	1	3	6	1	0	1	2	1	0	2	5	3	0	1	0	2	0	2	9	2	0	0	0	0	0	0	0	0	2	1	0	3	0	1	3	2	0	0	0	1	6	2	1	0	2	0	0	1	2	0	0	0	0	1	2	1	2	0	4	0	0	2	4	0	0	0	4	0	0	1	1	0	0	2	1	0	1	0	0	0	0	5	2	0	1	0	1	0	0	0	1	3	0	1	5	0	3	0	2	0	0	0	0	0	4	4	3	3	0	2	7	0	0	0	0	2	0	2	0	0	0	0	5	0	0	1	3	1	0	0	0	1	1	1	4	0	0	2	0	0	1	0	1	0	0	2	0	5	2	0	3	2	0	0	0	1	0	5	1	1	1	2	0	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	0	0	1	0	0	6	2	0	4	0	2	0	0	0	1	0	0	3	1	0	0	0	1	0	0	0	0	1	1	0	1	0	5	4	0	2	0	0	0	0	2	0	5	0	1	3	1	0	1	4	0	1	0	3	0	2	0	0	0	1	1	1	1	4
Mashable	1	1	3	11	2	1	8	1	0	1	2	1	0	0	1	1	7	0	0	14	3	0	0	0	1	0	11	1	8	1	1	5	4	6	0	1	9	2	0	7	10	15	31	2	0	1	5	3	1	1	4	0	1	2	4	1	1	2	0	1	2	0	1	0	0	2	1	1	0	3	2	0	2	0	6	0	3	7	0	1	23	1	1	1	4	0	18	1	6	0	1	0	1	1	0	4	2	0	0	0	0	2	2	3	2	3	2	1	0	3	2	4	1	2	1	8	0	2	0	24	0	0	1	0	0	2	3	0	2	1	1	10	3	3	2	1	0	0	0	4	0	0	4	0	3	1	2	0	7	1	2	0	2	6	0	3	3	1	4	0	2	1	0	0	0	1	5	1	9	1	0	0	5	1	0	3	0	4	1	2	2	8	2	2	4	3	1	0	0	1	4	0	2	1	17	0	0	1	4	2	0	1	2	8	2	3	1	1	3	3	0	1	0	0	1	2	2	3	2	1	3	0	1	13	1	0	3	1	3	0	0	1	1	8	8	0	0	1	6	2	1	1	0	1	5	0	0	1	0	0	1	1	3	1	2	0	0	0	3	0	1	2	0	1	0	0	6	3	2	1	0	0	7	0	1	0	1	0	1	14	0	3	0	4	0	0	0	0	10	0	0	1	0	9	0	0	3	1	0	8	2	1	4	0	4	2	2	1	0	1	2	1	0	18	2	1	0	5	3	0	2	2	0	6	4	0	1	0	3	5	9	0	2	1	1	1	4	0	0	2	3	1	3	2	4	2	1	0	0	2	2	12	1	1	2	1	1	0	1	5	1	4	1	4	1	2	3	1	1	1	1	1	2	15	3	0	11	2	0	8	19	0	0	2	8	4	1	1	0	9	0	2	2	3	2	3	4	4	0	2	2	4	3	7	7	8	3	0	5	2	3	1	1	2	6	13	9	2	0	1	1	4	1	6	0	0	1	0	0	2	0	10	0	1	0	5	0	25	11	0	0	11	4	2	0	1	0	2	0	0	1	3	5	1	5	0	1	0	5	4	7	0	1	0	2	2	0	4	5	4	1	13	4	3
Autoblog	0	0	0	2	0	0	0	0	0	0	0	1	0	0	12	0	1	0	0	2	0	0	4	0	0	0	0	4	9	0	0	0	0	0	0	0	0	4	0	0	2	1	0	0	1	0	1	5	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	2	10	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	7	2	0	0	0	1	2	4	0	1	7	0	0	0	1	0	9	40	0	0	0	0	5	0	40	0	0	0	0	3	0	4	1	4	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	1	0	0	0	0	0	5	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	2	3	1	0	0	0	0	0	2	1	0	6	0	0	2	0	0	0	1	0	0	0	0	0	4	0	1	4	0	1	5	2	3	0	0	1	2	0	0	0	0	15	1	40	1	0	0	1	1	0	1	0	0	0	160	1	0	0	0	0	0	0	0	40	0	1	1	0	0	1	0	0	0	0	6	0	4	0	0	0	8	0	0	4	1	0	2	2	0	0	0	0	4	5	0	0	6	1	0	0	0	1	0	0	40	4	0	0	0	0	4	0	2	0	0	0	3	0	6	0	0	1	40	0	0	5	0	0	2	0	1	12	0	0	0	0	0	6	44	0	1	1	2	0	0	1	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	1	4	3	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	5	0	2	0	1	1	0	0	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	7	0	2	2	0	0	0	0	1	0	9	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	1	1	39	0	1	0	1	0	1	3	0	1	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0
flagrantdisregard	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	3	0	1	0	0	0	0	2	0	1	0	1	1	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	4	0	1	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	1
Gizmodo	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	2	2	21	2	3	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	2	2	4	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	2	0	2	3	0	2	0	0	0	1	0	0	1	0	2	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	3	0	0	0	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	4	3	1	0	1	0	0	0	0	0	0	3	0	0	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	2	0	0	0	0	1	0	3	0	0	0	1	0	2	1	0	2	0	0	0	0	4	1	0	0	0	3	1	0	0	1	1	0	2	2	1	1	0	1	0	0	3	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	3	0	1	0	0	0	1	2	0	0	2	0	1	0	1	3	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	4	1	0	0	0	0	2	0	0	0	1	0	3	1	0	2	0	0	3	2	0	0	2	2	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	1	0	1	2	2	4	0	1	0	0	1	0	1	0	0	3	3	2	1	0	0	2	2	2	0	0	0	0	0	0	0	5	0	2	2	0	0	3	2	0	0	0	0	2	0	0	0	2	0	0	0	1	1	0	3	0	2	0	2	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0
